,ID,Name,Father Name,DOB,FamilyNo,StreetAddress,City,Province,Gender
170,42401-9023249-9,Maisam Zain,Zain Amin,"Jan 14, 1964",W9P724,"House No 29-E, Street No 20, Sector W-0/0",Islamabad,Federal State,Male
171,42101-5127169-9,Shahid Sohaib,Sohaib Usayd,"Jan 12, 1959",P6N362,"House No 48-K, Street No 21, Sector Y-6/7",Lahore,Punjab,Male
172,42401-2061599-9,Ayeza Faizan,Faizan Kashif,"Jan 24, 2000",P0P500,"House No 78-E, Street No 13, Sector T-3/5",Peshawar,KPK,Female
173,42401-2021879-9,Abdul Ibrahim,Ibrahim Bashir,"Feb 7, 1978",B9A743,"House No 75-D, Street No 7, Sector B-3/5",Peshawar,KPK,Male
174,42101-1040789-9,Aiman Talha,Talha Faizan,"Nov 18, 2006",W1H945,"House No 45-Q, Street No 2, Sector O-7/7",Lahore,Punjab,Female
175,42401-6222119-9,Ismail Ayan,Ayan Ihtisham,"Mar 17, 1968",M5S127,"House No 77-J, Street No 4, Sector H-5/5",Islamabad,Federal State,Male
176,42101-9108459-9,Zakia Asad,Asad Ayan,"Jul 21, 1967",Q1I509,"House No 75-P, Street No 3, Sector X-9/3",Quetta,Balochistan,Female
177,42101-2117419-9,Batool Adnan,Adnan Wasay,"Oct 14, 1984",N0U688,"House No 09-U, Street No 26, Sector X-0/1",Quetta,Balochistan,Female
178,42401-5205799-9,Neelum Atif,Atif Saad,"Oct 5, 2009",A6N021,"House No 32-K, Street No 26, Sector I-8/8",Islamabad,Federal State,Female
179,42401-8010929-9,Wasay Amin,Amin Atif,"Mar 24, 2010",T1H611,"House No 92-Y, Street No 2, Sector Y-0/2",Quetta,Balochistan,Male
180,42401-2271459-9,Tariq Bashir,Bashir Azeem,"Aug 2, 1968",U0I939,"House No 83-S, Street No 23, Sector I-1/0",Quetta,Balochistan,Male
181,42101-3151839-9,Saad Javed,Javed Bashir,"Aug 29, 1960",V5M834,"House No 90-W, Street No 7, Sector E-7/0",Lahore,Punjab,Male
182,42401-6207889-9,Tahir Imran,Imran Sameer,"Jul 30, 1974",K0B033,"House No 83-X, Street No 22, Sector I-0/3",Karachi,Sindh,Male
183,42401-5306249-9,Idrees Abdullah,Abdullah Usman,"Oct 14, 1983",C5G659,"House No 18-G, Street No 22, Sector J-8/6",Lahore,Punjab,Male
184,42401-1176019-9,Tooba Haider,Haider Ibrahim,"Nov 28, 2002",T9E327,"House No 19-H, Street No 14, Sector X-4/3",Quetta,Balochistan,Female
185,42101-4095239-9,Hamza Zaid,Zaid Talha,"Jun 1, 1997",R0Z112,"House No 17-H, Street No 29, Sector C-4/1",Karachi,Sindh,Male
186,42101-2071319-9,Rabia Maisam,Maisam Javed,"Jun 26, 1962",L4F160,"House No 78-V, Street No 25, Sector L-2/8",Islamabad,Federal State,Female
187,42101-1116809-9,Manahil Usayd,Usayd Jamal,"Aug 30, 2004",W8Y810,"House No 25-B, Street No 30, Sector S-6/6",Islamabad,Federal State,Female
188,42101-2067409-9,Babar Salman,Salman Bilawal,"Jul 29, 1999",N5U893,"House No 94-K, Street No 7, Sector A-1/6",Quetta,Balochistan,Male
189,42101-1129699-9,Mishael Amir,Amir Farooq,"Jun 7, 1956",U8S107,"House No 54-H, Street No 15, Sector U-1/5",Quetta,Balochistan,Female
190,42101-2186939-9,Yasir Salman,Salman Irfan,"Apr 25, 1960",O0G194,"House No 71-L, Street No 23, Sector C-8/0",Peshawar,KPK,Male
191,42401-2237619-9,Imran Sameer,Sameer Farhan,"Jul 8, 1960",M6S014,"House No 09-T, Street No 12, Sector V-2/7",Peshawar,KPK,Male
192,42401-8187379-9,Hania Waqas,Waqas Salman,"Sep 11, 2011",R5Y268,"House No 41-J, Street No 4, Sector M-3/1",Lahore,Punjab,Female
193,42101-3199309-9,Moheem Ibrahim,Ibrahim Zaid,"Apr 7, 1994",S1K752,"House No 16-H, Street No 2, Sector K-8/9",Karachi,Sindh,Male
194,42101-2213869-9,Hareem Sohail,Sohail Khan,"Sep 23, 1991",O9X053,"House No 61-Q, Street No 20, Sector F-3/8",Lahore,Punjab,Female
195,42101-7147289-9,Kabir Sameer,Sameer Yasir,"Jun 18, 1998",Z6A322,"House No 80-H, Street No 10, Sector A-6/5",Islamabad,Federal State,Male
196,42101-9228269-9,Rashid Asad,Asad Abdullah,"Oct 30, 1964",K3F230,"House No 55-I, Street No 8, Sector M-3/5",Islamabad,Federal State,Male
197,42101-4215309-9,Adeel Moheem,Moheem Abd ul Rehman,"Aug 16, 1963",C4L398,"House No 68-O, Street No 21, Sector F-7/2",Quetta,Balochistan,Male
198,42101-6254349-9,Zoha Abid,Abid Sameer,"Apr 15, 1990",F2T980,"House No 79-Y, Street No 14, Sector T-6/7",Quetta,Balochistan,Female
199,42401-3178979-9,Usman Zeeshan,Zeeshan Umair,"Apr 26, 2004",F1D102,"House No 18-A, Street No 21, Sector W-1/4",Lahore,Punjab,Male
